epoch,set,Loss,ACC,SEN,SPE,AUC
1,train,0.6582,0.6537,0.0180,0.9687,0.4659
1,val,0.6389,0.6667,0.0000,1.0000,0.5332
2,train,0.6388,0.6687,0.0000,1.0000,0.4447
2,val,0.6366,0.6667,0.0000,1.0000,0.5332
3,train,0.6404,0.6687,0.0000,1.0000,0.4003
3,val,0.6367,0.6667,0.0000,1.0000,0.5352
4,train,0.6358,0.6687,0.0000,1.0000,0.4951
4,val,0.6363,0.6667,0.0000,1.0000,0.5352
5,train,0.6362,0.6687,0.0000,1.0000,0.5096
5,val,0.6368,0.6667,0.0000,1.0000,0.5352
6,train,0.6385,0.6687,0.0000,1.0000,0.4488
6,val,0.6363,0.6667,0.0000,1.0000,0.5391
7,train,0.6354,0.6687,0.0000,1.0000,0.5018
7,val,0.6367,0.6667,0.0000,1.0000,0.5391
8,train,0.6346,0.6687,0.0000,1.0000,0.5352
8,val,0.6364,0.6667,0.0000,1.0000,0.5410
9,train,0.6394,0.6687,0.0000,1.0000,0.4414
9,val,0.6367,0.6667,0.0000,1.0000,0.5410
