feature,mean_abs_shap
VSBPDIA,3.465238035164003
FAQ,2.985289157735012
MH15DRUG,2.542586694340032
LDELTOTAL,2.465599496702828
ADAS11,2.4286384496053435
MH17MALI,2.34414546997334
NXVISUAL,2.3299596945986303
VSHEIGHT-cm,2.2993265785738473
ECOGSPPLAN,2.2735472962410053
BCSWEATN,2.192301721438383
BCVISION,2.178824480799616
MH12RENA,2.1477364058158934
BCANKLE,2.13912577878267
BCCOUGH,2.1121657192294028
MH9ENDO,2.08718012228735
MH18SURG,2.0819241258199175
DIGITSCOR,2.0348024860167464
BCDIZZY,2.019874344697294
NXGAIT,1.999556205382741
NXOTHER,1.9924860332715675
FHQMOMAD,1.9907344882523044
BCINSOMN,1.96240934166177
PTNOTRT,1.9168377030860488
BCMUSCLE,1.916046384627859
PTDOBYY,1.9097390427551826
BCDIARRH,1.909203536005955
NXNERVE,1.8962639985227934
VSBPSYS,1.8929045570310439
BCENERGY,1.8828956416052482
MHPSYCH,1.866320684099635
PTGENDER,1.8661675313330424
PTPLANG,1.838391097194321
MH8MUSCL,1.8333554707465591
ADAS13,1.8227948498067341
RAVLT_IMMEDIATE,1.8068550012037783
PXABDOM,1.769693793679326
BCDRYMTH,1.7190592055882152
BCDROWSY,1.6967829427941548
ECOGPTORGAN,1.690471886941442
BCCRYING,1.6840017848639324
MOCA,1.6834405135151582
ECOGPTPLAN,1.6355852088153462
PXPERIPH,1.6092740199620534
BCNAUSEA,1.5951860916688023
MPACCTRAILSB,1.593430447946998
MH2NEURL,1.591870978774068
BCCONSTP,1.5906149609752598
BCABDOMN,1.5787965830660504
APOE4,1.5499353210709998
BCURNFRQ,1.5433666332102218
FHQMOM,1.5398778359601277
ECOGSPORGAN,1.526844361910299
FHQSIB,1.4756062378796713
NXSENSOR,1.4546508815965737
MH13ALLE,1.449105501336988
ECOGPTVISSPAT,1.4464341385125048
PTMARRY,1.41952563096082
NXMOTOR,1.4147563571622779
BCWANDER,1.406250316106196
VSTEMP-C,1.3919090761718491
HMSCORE,1.3887525557317206
BCHDACHE,1.3860179340721457
PXNECK,1.3825884046919237
NXAUDITO,1.3748138880862193
PXBACK,1.354085747583893
BCCHEST,1.3405286212983158
PXCHEST,1.3392969748378745
CDRSB,1.3372594710441916
PTTLANG,1.3337528721583283
ECOGPTDIVATT,1.319496437650037
ECOGSPDIVATT,1.2987681782700518
MH19OTHR,1.297541710462015
RAVLT_LEARNING,1.2967107468010866
BCBREATH,1.2865120275292272
PXHEART,1.2832697453538022
BCFALL,1.2815391740398052
BCVOMIT,1.2787033317781096
PTEDUCAT,1.2639567512493823
PTHOME,1.2544996211664545
BCELMOOD,1.2466333428289214
NXCONSCI,1.245469677065448
MPACCDIGIT,1.240103032987807
FHQDADAD,1.2318286347256655
BCPALPIT,1.2267965351014505
ECOGSPLANG,1.2228186388306048
NXHEEL,1.2216405626577795
BCURNDIS,1.2162603346646879
MH14ALCH,1.2114240975807113
ECOGPTMEM,1.2107220928319546
PXOTHER,1.2099508258024503
PTHAND,1.2022548835180058
FHQDAD,1.1926404425973007
ECOGSPTOTAL,1.1895847760533906
MH16SMOK,1.1860695193242987
PXEXTREM,1.1798784150523143
PTETHCAT,1.1756812554383151
PXSKIN,1.1755812807992747
PXMUSCUL,1.164990868926992
ECOGSPVISSPAT,1.144450158984746
ECOGSPMEM,1.1437289931123567
MH11HEMA,1.1352044513475636
ECOGPTLANG,1.122413203879749
BCDPMOOD,1.1017867324717783
VSWEIGHT-kg,1.097304050195015
BCOTHER,1.0957237868960936
VSRESP,1.0909044310783094
MMSE,1.0801621695721455
RAVLT_PERC_FORGETTING,1.0758217443207687
MH4CARD,1.0517658381098134
NXFINGER,1.043670204639423
PXGENAPP,1.0362246840447333
RAVLT_FORGETTING,1.0179277226722518
VSPULSE,0.9957777266460149
MH5RESP,0.9946235274138232
MH10GAST,0.9739478413358902
PTRACCAT,0.9703098228935237
NXPLANTA,0.9583657277230259
BCRASH,0.9509407184103701
MH3HEAD,0.933070780369668
NPISCORE,0.9247481535718701
NXTENDON,0.9119645643795332
ECOGPTTOTAL,0.8994345551959673
MH7DERM,0.8970494842620239
ADASQ4,0.8883861011464812
NXTREMOR,0.8741596087779092
MH6HEPAT,0.8184263856271289
GDTOTAL,0.8161860966814211
TRABSCOR,0.7707349827716724
PXEDEMA,0.69436059170939
PXHEADEY,0.6204331362004909
