feature,mean_abs_shap_partial
PTHOME,2.532826799999937
BCCHEST,2.218565636924291
NXGAIT,2.1187215468973286
VSTEMP-C,2.092985244877901
BCRASH,2.0929715912579705
MMSE,2.0723063919228837
BCOTHER,2.0573460107682093
PXEDEMA,1.9615252062042436
BCCOUGH,1.9144788502479448
BCHDACHE,1.8712689578829533
MOCA,1.8420954898148487
ECOGPTVISSPAT,1.839442564070912
MH11HEMA,1.8341895048954708
PTNOTRT,1.81584325157142
NXVISUAL,1.807275919491623
BCPALPIT,1.7996566328094816
VSWEIGHT-kg,1.7941592213776236
PXEXTREM,1.7112375916715656
PXHEART,1.7076036823512037
MH4CARD,1.700812952719873
RAVLT_FORGETTING,1.6847705089707414
RAVLT_PERC_FORGETTING,1.6803077592490052
NPISCORE,1.6787327171716913
BCBREATH,1.6570170217993383
MHPSYCH,1.6521948621349025
MH7DERM,1.6428642682003967
APOE4,1.6350301703267194
TRABSCOR,1.631361047138659
FHQSIB,1.6263059762810388
PXPERIPH,1.61759964446369
PTPLANG,1.615446615382476
CDRSB,1.5931444855383559
ADAS13,1.5905248915478165
BCWANDER,1.565666988356068
ECOGPTDIVATT,1.559929518257948
MH9ENDO,1.5478972198159908
PXSKIN,1.547885544473736
GDTOTAL,1.5426417058231958
BCENERGY,1.5302343001787417
RAVLT_IMMEDIATE,1.5299114123199964
BCDPMOOD,1.5107628208359032
FHQDAD,1.504986878295032
PXABDOM,1.4998055060524533
NXTREMOR,1.4799018116321083
FAQ,1.4679076708439425
BCFALL,1.4674803897589257
VSHEIGHT-cm,1.4635575424611298
FHQMOM,1.4378229684959942
PTRACCAT,1.4336378638721443
BCURNFRQ,1.4331955104981058
ECOGPTTOTAL,1.4306842098652692
MH5RESP,1.4176872204411015
NXSENSOR,1.417560886566826
ECOGPTLANG,1.4047809005222682
MH14ALCH,1.4031037730333404
MH8MUSCL,1.402410907062112
ECOGPTMEM,1.380165375770518
BCCRYING,1.376259821173841
BCNAUSEA,1.374322627608559
BCANKLE,1.3675873971753985
VSPULSE,1.352049692727313
MH12RENA,1.3339402477985074
MH13ALLE,1.3338201437998958
BCCONSTP,1.3325491048703133
PTGENDER,1.3230858663348062
NXHEEL,1.3212763611677374
LDELTOTAL,1.321157001091001
BCDIZZY,1.3192078777621898
MH15DRUG,1.317472830975783
ECOGSPORGAN,1.2904137944582381
NXTENDON,1.2880680944390444
BCURNDIS,1.267946883587341
NXCONSCI,1.2672245802908935
MH2NEURL,1.257008990489979
PTEDUCAT,1.2470860052520012
BCSWEATN,1.241645461344838
BCMUSCLE,1.2321495011512853
ECOGPTORGAN,1.2268849994485638
MH16SMOK,1.222392137347778
HMSCORE,1.2180184071099764
BCVISION,1.215695983800497
PXMUSCUL,1.211284353722007
ECOGSPPLAN,1.209432037503757
BCDIARRH,1.2026592771762188
BCDRYMTH,1.1966276051616138
PXGENAPP,1.1940005248201575
ADAS11,1.1931273796946489
NXNERVE,1.1800239465993176
ECOGPTPLAN,1.1777663354239551
MPACCDIGIT,1.174526761852274
ECOGSPTOTAL,1.172679994782767
BCELMOOD,1.1663705599519916
BCVOMIT,1.165111611927612
DIGITSCOR,1.1564773286302146
MH18SURG,1.1527250526246047
PTMARRY,1.1447062022330114
PXNECK,1.1381741365916007
VSRESP,1.1281118148887554
VSBPDIA,1.1257911719836804
PXCHEST,1.1237547224102553
ECOGSPMEM,1.0986031662542344
BCINSOMN,1.0910238597064872
BCDROWSY,1.077060495786132
RAVLT_LEARNING,1.072004851734696
PTTLANG,1.069793163934792
ECOGSPLANG,1.0597266856745435
MH17MALI,1.0594216792081768
PTHAND,1.0572169214010487
ECOGSPDIVATT,1.0523849946249746
MH6HEPAT,1.0471286515908829
MPACCTRAILSB,1.0424830831455785
NXPLANTA,1.0352548502353935
PTDOBYY,1.0216774811237204
ADASQ4,1.0189976932338543
MH19OTHR,1.0072060663530016
MH10GAST,1.0015417500767694
NXFINGER,0.9855309001508709
FHQDADAD,0.9738784066869847
VSBPSYS,0.9734251387785423
NXOTHER,0.9733258934751814
MH3HEAD,0.9727866850201492
ECOGSPVISSPAT,0.964354527267294
PXOTHER,0.9534334969165988
NXMOTOR,0.9498080642885709
BCABDOMN,0.9493420100949836
NXAUDITO,0.9015686162551874
PTETHCAT,0.764919696107545
FHQMOMAD,0.7423534454526853
PXHEADEY,0.7146016308168988
PXBACK,0.6002446167953855
