feature,mean_abs_shap
RAVLT_IMMEDIATE,0.09953693073388509
FAQ,0.07603472385634553
ADAS13,0.06918738213819953
APOE4,0.06906673491201445
LDELTOTAL,0.06812035496465843
ADASQ4,0.06322658105577124
ECOGSPMEM,0.060459651070129655
ADAS11,0.05857644805649295
MPACCTRAILSB,0.056820438359521074
MPACCDIGIT,0.055306533017633254
CDRSB,0.05423593969093397
RAVLT_PERC_FORGETTING,0.05231900457324614
ECOGPTPLAN,0.05098901299071872
NPISCORE,0.0508014752300364
RAVLT_LEARNING,0.04582717685756638
MOCA,0.04484637399146971
ECOGSPORGAN,0.04450642726148324
ECOGSPPLAN,0.044381330655676114
PTRACCAT,0.043222556956240686
ECOGSPTOTAL,0.04207515440113497
MH9ENDO,0.04193734925766118
ECOGSPLANG,0.04137867044049781
NXOTHER,0.041345934443905524
PXCHEST,0.04077484913828523
FHQDADAD,0.04050895482931063
BCSWEATN,0.040396752008151064
BCCRYING,0.03933695800780267
MH7DERM,0.039246816311910813
MH2NEURL,0.038753387451473185
RAVLT_FORGETTING,0.03863873249438019
ECOGSPDIVATT,0.038304585461371256
ECOGSPVISSPAT,0.038260474098011005
VSHEIGHT-cm,0.03794359792687669
VSTEMP-C,0.037938441950014376
MH8MUSCL,0.03784951371229383
BCBREATH,0.03776021346577053
PXEXTREM,0.037681242859224494
NXSENSOR,0.037659348677345515
VSWEIGHT-kg,0.037543474173289286
NXFINGER,0.03753680779189786
NXTENDON,0.037527676641144876
BCDIARRH,0.03750744659720705
DIGITSCOR,0.03727669419707722
ECOGPTTOTAL,0.037253084010313
MH18SURG,0.03721298364279745
MH12RENA,0.037110331874898435
NXGAIT,0.03687339054293553
PTNOTRT,0.03683529593030727
MMSE,0.03679625264589354
MH5RESP,0.03673280056769823
PTHAND,0.036660994122469245
PTEDUCAT,0.03644588122065901
BCCHEST,0.03643523409179248
BCOTHER,0.03600667754451011
GDTOTAL,0.03588367857039356
FHQMOM,0.03586292657041707
HMSCORE,0.0357687240632313
PTGENDER,0.0357015615974054
BCABDOMN,0.03539842183373323
NXNERVE,0.035255375197032236
BCPALPIT,0.035247711280613096
BCELMOOD,0.03521646432390802
PXNECK,0.0352075745967569
BCURNFRQ,0.03518969412865754
TRABSCOR,0.03514729348398301
ECOGPTORGAN,0.03499027485246638
PTHOME,0.03488352477363021
MH17MALI,0.034783934218118664
PTMARRY,0.03474853143884933
MH14ALCH,0.03463871003659146
PXPERIPH,0.034605868681081724
MH4CARD,0.03455396276913005
NXAUDITO,0.034513952467195325
PXOTHER,0.034432302574321096
PXHEART,0.034404189278633694
MH10GAST,0.0343895591722
VSBPDIA,0.0343809661617737
BCINSOMN,0.034294772451608266
PTETHCAT,0.03419479923269455
PXHEADEY,0.034078087867856474
VSPULSE,0.03393311984660325
BCDROWSY,0.033739788607787986
MH13ALLE,0.03370424367437369
BCURNDIS,0.033612540591473804
BCDIZZY,0.03348443335420983
NXVISUAL,0.03345217302348371
MHPSYCH,0.03342440747492308
BCRASH,0.03338452172541236
BCMUSCLE,0.033380326594655056
NXPLANTA,0.03333793923442644
ECOGPTMEM,0.03331623397911591
BCDRYMTH,0.033159656115882126
PXSKIN,0.03311279811806963
ECOGPTLANG,0.03286376289347672
MH16SMOK,0.032743687674568464
ECOGPTVISSPAT,0.03273778997234203
PXGENAPP,0.0327109034195805
MH19OTHR,0.03264352552472457
BCDPMOOD,0.03259247914039204
VSRESP,0.03250907208897054
MH3HEAD,0.032481826620015426
PXEDEMA,0.03245565111097088
BCFALL,0.03233522270659256
PTDOBYY,0.03228969670486058
VSBPSYS,0.03222705492359771
BCHDACHE,0.03221964323501741
BCWANDER,0.03221653547966975
NXTREMOR,0.03216022284188632
MH11HEMA,0.031915352574516054
BCCONSTP,0.031881337165038555
PXMUSCUL,0.031774616394312886
FHQMOMAD,0.03174190453483452
BCVOMIT,0.031736112177530446
BCNAUSEA,0.031725154395977985
NXCONSCI,0.031703689897603964
BCENERGY,0.03164157524471387
MH6HEPAT,0.03156285720712689
ECOGPTDIVATT,0.03154948422607933
PXBACK,0.031415603156201476
FHQSIB,0.03136176060390695
FHQDAD,0.031345705892116014
PTTLANG,0.03129217649207503
BCANKLE,0.031225019352086252
PXABDOM,0.03117605820239959
PTPLANG,0.031127359797684464
NXHEEL,0.030900605422415583
MH15DRUG,0.030523711756953467
BCVISION,0.030250874073710136
NXMOTOR,0.02980540467905844
BCCOUGH,0.029302126749775056
