feature,mean_abs_shap_partial
FAQ,0.07753866093668925
RAVLT_IMMEDIATE,0.07366879906997294
ADAS13,0.07278119736095316
ADASQ4,0.07255328826619846
LDELTOTAL,0.06780199733990826
ADAS11,0.06740682999774061
APOE4,0.06276630697883352
MPACCTRAILSB,0.056334655876543405
NPISCORE,0.054254465880090086
ECOGSPMEM,0.05229112660137752
MPACCDIGIT,0.052177734284844575
ECOGSPLANG,0.05160705186377332
RAVLT_PERC_FORGETTING,0.05123344533987458
RAVLT_LEARNING,0.050006962932193914
MOCA,0.048654113925463406
MH12RENA,0.044275593637685844
ECOGSPDIVATT,0.04282353112839422
PXMUSCUL,0.04280238434297904
NXVISUAL,0.042581866689850735
BCURNDIS,0.04251845805282609
BCABDOMN,0.04233288419212831
ECOGPTORGAN,0.04230706894687056
BCENERGY,0.041956334147554626
ECOGPTMEM,0.04181282558797369
ECOGSPVISSPAT,0.041374901295590946
ECOGSPTOTAL,0.041259650280921996
BCCRYING,0.04105299769982035
TRABSCOR,0.04086867777349321
MH16SMOK,0.04051568389329005
MMSE,0.040371415235237906
PXOTHER,0.04009426615279482
BCVISION,0.03988055231605773
ECOGPTDIVATT,0.03985346554361805
BCDIZZY,0.03984364170748799
FHQSIB,0.03944675270859526
BCHDACHE,0.03941976675273428
VSTEMP-C,0.03930782163331597
PXHEART,0.039223317177777973
PTMARRY,0.03911716715488477
VSHEIGHT-cm,0.03905971869207121
MH7DERM,0.038951250095730916
NXNERVE,0.03884693330445353
RAVLT_FORGETTING,0.03865624943876521
MH5RESP,0.03837702501271936
NXCONSCI,0.03833839070102283
BCURNFRQ,0.03825047335145059
FHQMOMAD,0.03822450650567042
NXFINGER,0.03819025649933121
PXEXTREM,0.03811727857030606
BCDROWSY,0.038091840376569625
CDRSB,0.03803179749196906
MH11HEMA,0.03799439075735097
PTDOBYY,0.037991772579500954
PTEDUCAT,0.037921506450703746
PXNECK,0.037757047036050866
PTNOTRT,0.03739200530393283
MH10GAST,0.03737179331276235
MH8MUSCL,0.03737128620549794
GDTOTAL,0.0371919150181943
PTRACCAT,0.03715478101810308
MHPSYCH,0.03715098017062547
ECOGPTTOTAL,0.03713246522707619
PXBACK,0.03696296444441668
BCCHEST,0.036887870185673896
VSBPSYS,0.036709871512662924
FHQDAD,0.03663797970679484
MH4CARD,0.03661519281335142
NXMOTOR,0.036535127787144225
PTHAND,0.0365299759607114
BCVOMIT,0.036445105417377
PXCHEST,0.03639422293031494
BCPALPIT,0.03636157279400741
MH18SURG,0.03634716276689097
BCBREATH,0.036315645834873074
BCWANDER,0.035976046206269784
VSPULSE,0.035908557807664505
VSBPDIA,0.035893983043948086
NXHEEL,0.035867577025024404
PTTLANG,0.03581895142212792
NXOTHER,0.035782967020265156
BCINSOMN,0.03576328004286018
FHQDADAD,0.03565035623709171
MH19OTHR,0.035566087851840955
MH14ALCH,0.035512366113102586
DIGITSCOR,0.03547456871545552
PXPERIPH,0.03531455715911642
PTGENDER,0.03513572175601977
NXSENSOR,0.035091641081496365
NXAUDITO,0.0347456692924872
MH9ENDO,0.03474008589536074
ECOGPTPLAN,0.034701091675405187
BCCOUGH,0.03460913832625458
PXEDEMA,0.0345445574917089
MH6HEPAT,0.03444311540584144
BCRASH,0.034256052607347105
BCELMOOD,0.03418892630813915
BCDIARRH,0.03417630974933671
ECOGSPORGAN,0.03416005955295771
VSRESP,0.034149143743191675
BCANKLE,0.034042008975331564
PXABDOM,0.03400257968759021
BCOTHER,0.033932038342582994
BCDRYMTH,0.03375627646823714
MH3HEAD,0.03370200094240285
PTPLANG,0.03350611473836686
VSWEIGHT-kg,0.0333608451481109
HMSCORE,0.033182181214004035
NXTENDON,0.03315651625225038
PXHEADEY,0.03311796208025788
BCMUSCLE,0.03308453896729372
PTETHCAT,0.032958546947928075
MH2NEURL,0.032903314397042256
NXTREMOR,0.03267922495093683
BCDPMOOD,0.03254539652256343
ECOGPTVISSPAT,0.03249816444796774
FHQMOM,0.03230919039572978
ECOGSPPLAN,0.03180043349048918
BCCONSTP,0.03171205729176973
BCFALL,0.031657506906094084
PXGENAPP,0.03151760061730107
NXPLANTA,0.03149410336358879
PTHOME,0.03119116889483202
NXGAIT,0.03114946858471458
ECOGPTLANG,0.03111145819530844
BCNAUSEA,0.030802988423925894
MH15DRUG,0.030708282132296923
BCSWEATN,0.030332665533908645
MH17MALI,0.030059763676578876
MH13ALLE,0.029933605564279542
PXSKIN,0.02617296737076216
