feature,mean_abs_shap
FAQ,0.09165459939589105
LDELTOTAL,0.05354226849955761
RAVLT_IMMEDIATE,0.05240270957217403
TRABSCOR,0.04747366145351845
ADAS13,0.046540737204797636
ECOGSPMEM,0.045510188771771716
MPACCTRAILSB,0.04110151095387385
ADAS11,0.037397867826356346
RAVLT_PERC_FORGETTING,0.03648384004044704
MOCA,0.03628849898535696
ADASQ4,0.03521388662703963
CDRSB,0.03466362269335508
APOE4,0.0326806684309164
MPACCDIGIT,0.030726557862214156
ECOGSPTOTAL,0.030109073995767083
RAVLT_LEARNING,0.028576480643478532
ECOGPTPLAN,0.025787689758978573
ECOGSPPLAN,0.024094968238034996
ECOGSPVISSPAT,0.022876128236396676
ECOGPTMEM,0.022571348391400226
ECOGSPORGAN,0.022266843317440298
MMSE,0.022083113770225662
ECOGSPDIVATT,0.02207846708136654
DIGITSCOR,0.022022465812914012
PTEDUCAT,0.021088690942561526
ECOGSPLANG,0.02072461368493061
ECOGPTDIVATT,0.02042537186871296
RAVLT_FORGETTING,0.019950539653563387
ECOGPTORGAN,0.01887188181041405
ECOGPTLANG,0.01751185410582999
ECOGPTVISSPAT,0.017409837040336152
ECOGPTTOTAL,0.017401734546048556
PTGENDER,0.017340163640263254
FHQMOM,0.017235755089606994
FHQDAD,0.01562712112115956
