feature,mean_abs_shap_partial
ADAS13,5.172989492949298e+34
MMSE,5.172989492949297e+34
FHQMOM,4.326779305766571e+24
PTMARRY,4.011980519378824e+24
PXNECK,2.754285797740972e+24
VSRESP,2.754251954989724e+24
VSPULSE,1.8865788561121294e+24
PXHEADEY,1.810600082339199e+24
FHQSIB,1.181760720374458e+24
VSTEMP-C,1.1817495035076507e+24
VSBPSYS,6.288843009726148e+23
PTRACCAT,6.288603357250437e+23
PTHOME,3.147884921716425e+23
PTEDUCAT,7.59885088991342e+22
BCOTHER,4.8961435500462416e+19
MH17MALI,4.814428312848039e+19
BCCHEST,3.1620544165087343e+19
BCCRYING,2.9702652188365308e+19
VSBPDIA,2.1775800763791245e+19
PXGENAPP,1.9451885965444755e+19
PXPERIPH,1.681382187271451e+19
FHQDADAD,1.6598594751313517e+19
BCPALPIT,1.5700733772241834e+19
MPACCTRAILSB,1.4778807496393929e+19
BCVISION,1.2680107772445288e+19
MHPSYCH,1.2467487257951603e+19
BCINSOMN,1.1637792203954969e+19
BCDIZZY,1.109267175431552e+19
MH8MUSCL,1.0941338170377855e+19
PTDOBYY,1.0118036784040653e+19
PTETHCAT,9.649700800687354e+18
BCBREATH,8.895903546106385e+18
BCDIARRH,8.292284566625669e+18
PXOTHER,8.257130760490724e+18
MH11HEMA,8.104970604338094e+18
BCNAUSEA,6.901753012097918e+18
BCDROWSY,6.678308423066503e+18
PTHAND,6.460129752368868e+18
PXHEART,6.447335707092852e+18
PXCHEST,6.11590367513573e+18
FHQMOMAD,6.079981431783766e+18
ECOGPTPLAN,6.027937141277919e+18
MOCA,6.027937112195666e+18
PXABDOM,5.794614323936033e+18
PXEXTREM,5.478808737346256e+18
BCABDOMN,5.444214385901544e+18
VSWEIGHT-kg,5.361559351043761e+18
VSHEIGHT-cm,4.761576157871418e+18
NXAUDITO,4.716256422227331e+18
BCENERGY,4.5195669229649787e+18
MH15DRUG,4.4033188413708186e+18
MH10GAST,4.3403564825963387e+18
BCSWEATN,4.27674053306929e+18
PXEDEMA,4.163359326918119e+18
FHQDAD,3.806188569456021e+18
NXTREMOR,3.7637511695786445e+18
NXNERVE,3.5074510033216614e+18
BCDRYMTH,3.1524852923358817e+18
NXMOTOR,3.106213041250843e+18
PXBACK,2.826846113497956e+18
NXFINGER,2.8072891065336187e+18
PXMUSCUL,2.6137989957588593e+18
NXVISUAL,2.1443541835004787e+18
BCCONSTP,2.144353958878762e+18
NXGAIT,2.0364424038401523e+18
BCVOMIT,1.8064987933137198e+18
BCCOUGH,1.7168445388188296e+18
NXPLANTA,1.6046095446898511e+18
NXCONSCI,1.6026059123776604e+18
PXSKIN,1.5055833778645064e+18
NXHEEL,1.3601806314099674e+18
BCFALL,1.0999122082696157e+18
BCURNDIS,9.567675071007328e+17
BCDPMOOD,8.964734091302991e+17
PTTLANG,8.536727268230803e+17
NXTENDON,7.880213914077836e+17
BCANKLE,6.822971426731421e+17
PTPLANG,6.583893705612554e+17
PTNOTRT,6.543767021192154e+17
BCHDACHE,6.299436196970703e+17
BCMUSCLE,5.83627989894436e+17
NXOTHER,4.860597486232807e+17
ADASQ4,6.2962363727419624e+16
BCELMOOD,4.986393097074167e+16
CTWHITE,2.6404971509483884e+16
ECOGPTORGAN,2.6380909508335116e+16
BCRASH,4100707703757915.5
ECOGPTVISSPAT,24063288814960.17
ADAS11,14531937475172.016
CTRED,4182182658702.65
MH13ALLE,3456146860776.877
MH4CARD,3135391058981.965
LDELTOTAL,2788581531565.9873
ECOGSPLANG,2787065759081.1235
BCWANDER,1441533717334.7336
BCURNFRQ,463557655619.0189
APOE4,153675336293.46548
ECOGSPDIVATT,48557643621.88901
CDRSB,25612885511.915947
TAU,25612839226.24734
MH3HEAD,25059801795.50485
ECOGSPTOTAL,9770573186.53223
NXSENSOR,7362899242.923369
FAQ,5898637274.426172
MH18SURG,5294979910.9023
RAVLT_LEARNING,2481757189.2709327
MH9ENDO,1515697648.7939599
HMSCORE,96921332.93098226
MH6HEPAT,749848.3742796734
NPISCORE,238928.65562698283
MPACCDIGIT,228736.30761197236
MH2NEURL,205765.69345105853
ECOGSPPLAN,195155.24861103905
ECOGSPVISSPAT,191788.02956081624
ECOGPTLANG,172561.39298237706
TRABSCOR,143149.35128060693
ECOGPTMEM,139239.32023014445
RAVLT_IMMEDIATE,118171.3664442849
ECOGPTTOTAL,112422.10046884947
MH16SMOK,109805.30084114571
RAVLT_FORGETTING,109560.13290969735
ECOGPTDIVATT,106863.54494631167
MH12RENA,97859.3474242587
MH19OTHR,97314.20366387242
MH5RESP,96290.16203445182
ABETA42,87465.41100209829
RAVLT_PERC_FORGETTING,84172.82259315051
ECOGSPMEM,83115.98770454031
ABETA40,75382.17513216104
PROTEIN,65164.08678513797
DIGITSCOR,59038.75731374966
MH14ALCH,46529.69311024342
GDTOTAL,39823.37721629555
MH7DERM,36909.80525158162
ECOGSPORGAN,33920.86996318079
GLUCOSE,30187.146547206186
PTAU,4570.519186664525
